signevent,q1,q2,unid,id,outcome_class,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,Emoji
Celebrating my mothers birthday by going for a meal,Going for some food at our favourite restaurant with my family to celebrate a milestone,"As we were all busy when it was her birthday so this is the first day off we all have from work, we also booked a table",Dz320148,11,t,1,42,48.63,99,52.86,70.57,42,11.9,97.62,59.52,19.05,14.29,2.38,9.52,0,2.38,0,4.76,7.14,16.67,9.52,7.14,9.52,0,11.9,4.76,2.38,2.38,2.38,7.14,2.38,2.38,0,0,0,0,16.67,2.38,0,2.38,0,7.14,0,0,0,2.38,4.76,0,0,0,0,0,4.76,0,0,0,4.76,19.05,14.29,7.14,0,0,0,4.76,7.14,2.38,21.43,2.38,7.14,11.9,7.14,9.52,2.38,0,0,0,0,0,0,0,0,0,2.38,0,2.38,0,0,0,0,0,0,0,0,0,0
I have to meet with my old work colleagues for lunch on Friday,"I will walk up the town to my old office and I will meet my old workmates outside at around midday. From there we will walk round to the curryhouse for lunch. They have a lunchtime menu which is fairly cheap. During lunch we will chat about the office and about how life is going for everyone. After, those that are going back to work will go and the rest of us are likely to either go for a coffee on the walk home or for a pint at a pub.","Not sure I can, however I have advised how I will get there, info about the place, what will happen and what will happen after lunch. I trust that this will suffice.",Qx668616,12,t,1,123,56.39,46.75,86.59,56.48,17.57,6.5,94.31,65.04,16.26,9.76,6.5,2.44,0,0,0.81,6.5,8.13,17.89,13.01,8.13,6.5,0.81,21.14,3.25,2.44,4.07,0,0.81,1.63,1.63,0,0,0,0,7.32,0,0,0,0,8.94,0.81,1.63,0,2.44,1.63,3.25,0.81,0.81,0,0.81,4.88,0,0.81,0,4.07,8.13,4.07,0.81,1.63,0.81,0.81,0,14.63,8.94,17.07,5.69,7.32,4.88,3.25,2.44,0.81,0.81,0,0,0,0,0,0,0,0,8.94,5.69,3.25,0,0,0,0,0,0,0,0,0,0
Walking my dog before work each morning.,"I leave my house with my dog at 07:00 each workday (Mon-Fri). We proceed through a nearby park and head to the beach, if the tide is out. We come back along the same route and get home around 07:45.",My dog is a four-year old Jack Russell called Penny.,bq674268,13,t,1,52,91.28,50,74.76,25.77,13,9.62,82.69,46.15,11.54,11.54,7.69,3.85,0,0,0,0,9.62,13.46,3.85,3.85,5.77,0,11.54,1.92,1.92,0,9.62,1.92,0,0,0,0,0,0,5.77,0,0,0,0,1.92,0,0,1.92,1.92,0,1.92,0,0,0,0,1.92,1.92,0,0,0,5.77,3.85,0,0,1.92,0,1.92,9.62,0,17.31,3.85,9.62,5.77,0,1.92,3.85,1.92,0,0,0,0,0,0,0,0,21.15,7.69,1.92,3.85,0,0,0,3.85,0,0,3.85,0,0
Going to the zoo on the weekend with my partner and our daughter,We'll probably leave on Saturday morning around 10am. I'll need to pack a lunch for us all beforehand. When we get there our daughter will want to see the lions and butterflies first. Then we will have a picnic if the weather is still nice and then enjoy the rest of the afternoon there. I imagine we will leave at around 2pm,We have annual passes so this is something we are likely to do anyway.,dn052170,14,t,1,76,22.39,96.7,59,74.74,15.2,13.16,92.11,63.16,15.79,13.16,2.63,10.53,0,0,0,2.63,7.89,11.84,14.47,11.84,9.21,0,23.68,1.32,0,1.32,3.95,1.32,2.63,2.63,0,0,0,0,11.84,1.32,0,1.32,0,10.53,1.32,0,3.95,5.26,1.32,1.32,2.63,1.32,0,0,2.63,0,0,0,2.63,13.16,10.53,1.32,0,1.32,0,0,17.11,9.21,21.05,3.95,5.26,11.84,0,0,0,0,0,0,1.32,0,0,0,0,1.32,9.21,6.58,0,0,0,0,0,0,0,2.63,0,0,0
Playing Bass guitar for a concert which starts Today and will end on wedsday next week .,"It involves playing the bass guitar in a band group involving the Pianist, drummer and chorist in a gospel music concerts in Manchester.",You may google the gospel concert coming up today to confirm.,CK600406,15,t,1,34,99,96.11,28.81,79.41,17,29.41,82.35,41.18,5.88,2.94,0,0,2.94,0,0,2.94,14.71,14.71,2.94,0,2.94,0,8.82,0,0,0,0,2.94,2.94,2.94,0,0,0,0,14.71,0,0,0,0,2.94,0,0,0,2.94,0,0,8.82,0,8.82,0,0,0,0,0,0,5.88,2.94,0,2.94,0,0,0,2.94,5.88,17.65,2.94,11.76,2.94,0,20.59,0,0,5.88,0,0,0,0,0,0,0,8.82,5.88,2.94,0,0,0,0,0,0,0,0,0,0
Hiking to the top of a pike for a picnic.,"We shall take our dogs, by car, to a local car park from which we can hike to the top of a local pike. We can see the pike from our home and we like to hike to the top for a picnic, once in every season, it's a tradition with us. Now is the time for our summer hike. However, because of the present heatwave, we shall be doing this in the early evening, not midday as we usually do. We take a packed lunch to eat at the summit.",We are regular walkers/hikers with our dogs. This pike is visible from our home but it is very high so we don't hike up it often. We like to go up once every season to see the changes in our landscape.,pe123569,16,t,1,133,81.75,98.46,81.22,25.77,16.63,9.02,90.23,63.16,17.29,12.78,0,12.78,0,0,0,4.51,9.77,19.55,9.77,4.51,4.51,1.5,12.78,4.51,3.76,0.75,1.5,1.5,0,0,0,0,0,0,12.78,0,0,0,0,6.77,0,1.5,0,1.5,1.5,2.26,2.26,2.26,0,0,1.5,0,0,0,1.5,18.8,13.53,1.5,3.76,1.5,0,0,13.53,1.5,24.06,6.77,8.27,9.02,0,3.76,1.5,0,0,0,0,0,0,0,0,0,13.53,6.02,5.26,0,0,0,0,0,0,1.5,0,0.75,0
go to the movies on friday evening,i will go to the cinema on friday and watch a movie in the evening,i can't do anything other than repeating myself that i will go to the movies on friday,Qy150400,17,t,1,32,85.32,1,99,25.77,32,9.38,100,68.75,21.88,12.5,12.5,0,0,0,0,9.38,12.5,18.75,9.38,0,3.13,3.13,15.63,3.13,3.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,3.13,0,9.38,3.13,3.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.63,6.25,28.13,6.25,9.38,12.5,0,9.38,0,0,0,0,0,0,0,0,0,0,3.13,0,0,0,0,0,0,0,0,3.13,0,0,0
Redecorating the bathroom with a cork finish for more comfort.,"The house is old and insulation is poor, the intent is to line out the bathroom internally with cork tiles to improve individual comfort through the warm feeling that cork gives.
Cork tiles are self adhesive and will be primed with appropriate synthetic resin primer before applying at least two coats of an appropriate bathroom paint.
about 3/4 of the wall surface will be cork tiles, the remaining 1/4 ceramic wall tiles around shower/bath area.","The cork tiles have been purchased through Amazon are 4mm thick self adhesive, without sealant.
The synthetic resin primer has been purchased through an online construction materials company and the paint top coat finish will be purchased from a local high street shop.
The work should take 4 to 5 days including joint filling and sanding before primer is applied.",jx334260,18,t,1,138,96.83,58.59,13.9,52.99,23,23.91,74.64,39.13,0.72,0,0,0,0,0,0,0.72,9.42,13.77,12.32,1.45,2.9,0.72,15.22,6.52,2.9,0,5.8,1.45,2.9,2.17,0.72,0,0,0,3.62,0,0,0,0,2.9,0.72,0.72,0.72,0,0,0.72,2.17,0,0,2.17,0,0,0,0,0,4.35,0,2.17,2.17,0.72,0,1.45,10.14,2.17,13.77,0,10.14,3.62,2.17,2.9,3.62,3.62,0,0,0,0,0,0,0,0,8.7,4.35,2.17,0,0,0,0,0,0,0,0,2.17,0
Going for a walk in the Peak District with my girlfriend on the weekend.,"We live 20 minutes from the Peaks and have a book of local walks for us to experience. We'll pick one from the book, make up a quick packed lunch, and drive to the starting point. We'll walk for about 3 hours and stop for lunch along the way",We live in Sheffield so are only 20 minutes away from the Peaks. I work in London so only get to spend my weekends with her so we try to make the most of our time together when we're both in Sheffield.,WB417700,19,t,1,91,92.18,96.06,76.2,25.77,22.75,8.79,93.41,54.95,12.09,12.09,2.2,8.79,0,1.1,0,0,8.79,21.98,4.4,7.69,7.69,0,17.58,1.1,1.1,1.1,4.4,2.2,0,0,0,0,0,0,10.99,0,0,1.1,0,5.49,0,3.3,0,2.2,0,0,1.1,0,0,0,4.4,0,2.2,0,2.2,15.38,9.89,2.2,1.1,1.1,1.1,0,15.38,2.2,24.18,3.3,10.99,9.89,3.3,3.3,0,1.1,0,0,0,0,0,0,0,0,9.89,4.4,2.2,0,0,0,0,0,0,3.3,0,0,0
Getting married,"On Tuesday of next week I will be marrying my partner Richard. We have been together 6.5 years. The wedding starts at 12pm where the day guests attend (50). We will then have photographs, sign the register etc. When the ceremony is finished we will ‘mingle’ with guests have more photographs before the evening guests start to arrive (a further 40) and we will go inside and have a buffet type hot meal where guests can either pick from a chicken curry and rice or a beef chilli. We will then have speeches,
Give out presents and have a toast and dance the night away","Sleeping at the venue the night before. 7/8am the hairdresser and make up artist will arrive to put my hair into a loose French plait tucked in at the bottom. My wedding colour scheme is dusky pink and grey. I have created 60% off things at the wedding which includes table decorations, sweet table, table plan. By doing this I have saved over £300",jx033981,20,t,1,170,85.92,77.78,86.61,47.53,17,13.53,85.88,50,8.24,6.47,3.53,2.94,0,0,0,1.76,10,12.35,11.76,1.76,6.47,0,18.24,7.65,3.53,2.35,4.71,1.18,1.18,1.18,0,0,0,0,9.41,1.76,2.94,0,0,2.94,0,1.76,0,0.59,0,1.18,5.29,2.94,0.59,1.18,2.94,0.59,0,0,2.35,10,7.06,1.18,1.76,0,0,1.76,12.94,5.29,22.94,3.53,10.59,8.82,0.59,1.76,0,0,0,0,0,0,0,0,0,0,12.94,5.88,2.35,0,0,0,0,0,0.59,0.59,2.35,1.18,0
I will be continuing my patchwork quilt I have started.  Quite difficult but enjoyable so far.,It is a log cabin patchwork quilt with many different colours.  It will take some time to complete but no rush for me. It is a really nice hobby I have recently taken up.,"I go to weekly classes and learn all about patchwork skills.  I am amazed in what I have learnt in the short time I have been there. My quilt is my 3rd project to date. First was a pin cushion, next a cushion and now a quilt.",nk637718,21,t,1,81,56.91,8.73,98.01,72.05,11.57,12.35,87.65,54.32,14.81,9.88,9.88,0,0,0,0,4.94,7.41,11.11,12.35,4.94,3.7,1.23,18.52,6.17,2.47,1.23,2.47,3.7,2.47,2.47,0,0,0,0,1.23,0,1.23,0,0,9.88,2.47,0,0,1.23,2.47,3.7,1.23,1.23,0,0,0,0,0,0,0,6.17,0,2.47,1.23,2.47,0,4.94,13.58,1.23,17.28,2.47,4.94,9.88,6.17,1.23,0,0,0,0,0,0,0,0,0,0,9.88,8.64,1.23,0,0,0,0,0,0,0,0,0,0
I am attending a folk music festival on Friday.,"There is a folk music festival in the city I currently live in. I have bought tickets for Friday. The festival is outdoors. The event asks for attendees to bring blankets and lawn chairs to sit on, and to enjoy the music. I will be trying out some of the food trucks at the festival. I will also bring a chair to sit on, and I am attending the festival with my best friend Amy.","Musical groups such as ""Alvvays"" and ""Passenger"" are scheduled to play on Friday at the festival. The tickets for the Friday show are $60.",ES973582,22,t,1,99,97.7,38.08,80.98,99,12.38,16.16,89.9,53.54,6.06,6.06,6.06,0,0,0,0,0,12.12,19.19,9.09,3.03,6.06,0,17.17,2.02,2.02,0,1.01,2.02,8.08,8.08,0,0,0,0,3.03,0,1.01,0,0,2.02,0,0,0,2.02,0,0,4.04,1.01,3.03,0,2.02,0,1.01,0,1.01,5.05,2.02,2.02,2.02,1.01,0,1.01,14.14,2.02,20.2,3.03,11.11,6.06,2.02,11.11,0,1.01,0,0,0,0,0,0,0,0,15.15,8.08,2.02,0,0,0,0,0,4.04,0,0,1.01,0
Visiting my friend,I will be going with some other friends to visit her and her husband and we will stay for most of the day. We are invited for lunch and as the weather forecast is set to be good we will eat outside. After lunch we will probably go for a walk.,To convince you I will tell you that this friend is one from my early 20s and that we have been friends ever since. We see each other several times a year and have lots in common. We both have families and like to catch up on their news and our partners are now friends and also enjoy each other’s company. It is a relaxed day as we know each other so well.,cV324461,23,t,1,124,32.21,99,55.12,83.22,17.71,12.1,95.16,62.9,19.35,13.71,2.42,7.26,1.61,1.61,0.81,5.65,4.03,15.32,12.9,4.84,9.68,0,20.16,4.84,4.03,0,1.61,6.45,3.23,3.23,0,0,0,0,19.35,1.61,4.03,1.61,0.81,8.87,1.61,0.81,0,3.23,0.81,2.42,0.81,0.81,0,0,2.42,0,0,0,2.42,14.52,12.9,0,0.81,0.81,0,0.81,14.52,4.84,16.94,4.84,4.84,7.26,0.81,1.61,0.81,0,0,0,0.81,0,0,0,0.81,0,6.45,5.65,0,0,0,0,0,0,0,0.81,0,0,0
"I'm going shopping and for dinner on Friday, with my best friend Olivia.","We're meeting up in Manchester, close to where we both live to spend the day shopping, and catching up since we haven't seen each other in person for a few weeks. Then, we're going for dinner (place as yet undecided) and probably drinks afterwards.","It's a pretty normal activity to do, it's something we do every couple of months.",cB164146,24,t,1,59,74.19,93.63,94.33,57.83,19.67,15.25,96.61,55.93,15.25,8.47,0,8.47,0,0,0,6.78,5.08,20.34,8.47,5.08,6.78,1.69,20.34,5.08,1.69,1.69,0,8.47,1.69,1.69,0,0,0,0,11.86,0,0,0,0,13.56,0,1.69,0,6.78,1.69,3.39,1.69,1.69,0,0,5.08,0,1.69,0,3.39,11.86,8.47,0,3.39,0,0,1.69,15.25,3.39,27.12,1.69,13.56,11.86,1.69,3.39,0,3.39,0,0,0,0,0,0,0,0,23.73,5.08,6.78,0,0,0,0,0,0,8.47,3.39,0,0
To go a boot fair to look for bargains to keep and to sell on.,"I am a collector of antiques and collectables vintage item, from pottery, glass, clocks and watches. Anything that is collectable. I keep what I like and also I buy things to sell on, which pays for the things I want to keep.  What I sell pays for the items I want to keep, so I pretty much Get the items that I keep free!","Bootfairs are the best place to look for the best barains. You can buy things for 1 or 2pounds and sell it for a lot more. Most of the sellers who sell at bootfairb do not really understand the true value of the things they sell. I have many years of experience. I read A lot about the things I like to collect. I still make mistakes, but that's how you learn. I am always learning something New in this game. But it is a very good game. Going to a boot fair can be a big adventure for me because you really don't know what you will find.",tY321455,25,t,1,173,53.71,26.24,41.14,95.16,13.31,12.14,91.33,60.12,21.97,11.56,8.67,0,2.31,0,0.58,10.4,8.67,13.29,7.51,4.62,6.36,1.16,18.5,5.2,3.47,3.47,1.16,3.47,5.78,5.2,0.58,0,0,0,4.62,0,0,0,0,14.45,2.89,1.73,1.73,4.05,1.16,3.47,1.73,1.16,0,0,0,0,0,0,0,4.62,1.16,1.16,1.73,2.89,0,0,17.92,1.16,6.36,0.58,2.89,2.89,2.89,1.16,0,6.36,0,0,0,0,0,0,0,0,12.14,6.94,3.47,0,0,0,0.58,0,0,1.16,0,0,0
On Saturday I will have dinner with several of my husband's relatives that I have never met before.,"On Saturday, my husband's cousin and his partner and two children are coming to our house for dinner. They do not live in USA and this will be the first time I have met them. We will have a grill out with them and get to know them better before they travel on to Michigan to meet other relatives.",It would be a very boring thing to lie about. If I was going to make something up it would be a lot more exciting than eating hot dogs with strangers.,mQ946798,26,t,1,90,58.95,84.14,29.55,46.22,18,10,93.33,63.33,18.89,12.22,3.33,2.22,0,1.11,5.56,6.67,4.44,18.89,13.33,2.22,5.56,1.11,24.44,7.78,4.44,0,2.22,2.22,3.33,2.22,1.11,0,0,0,16.67,3.33,1.11,0,2.22,11.11,1.11,1.11,3.33,3.33,0,4.44,1.11,0,0,1.11,3.33,0,1.11,0,2.22,15.56,8.89,2.22,2.22,3.33,0,2.22,14.44,4.44,13.33,3.33,5.56,4.44,0,1.11,1.11,0,0,0,0,0,0,0,0,0,7.78,5.56,1.11,0,0,0,0,0,0,1.11,0,0,0
Moving out of my flat,"After moving all my furniture and clothing out of my flat earlier this week, over the next two days I'm going to be taking any remaining items and cleaning the flat before handing the keys back to the landlord.","I gave notice to the landlords one month ago, so I'll need to be out in two days time. Moreover, one of my tasks is to hand back the keys, so after this I won't have access anymore.",ID532461,27,t,1,77,82.64,18.16,99,25.77,25.67,12.99,92.21,53.25,12.99,9.09,9.09,0,0,0,0,3.9,7.79,18.18,9.09,5.19,5.19,1.3,18.18,9.09,5.19,0,5.19,3.9,0,0,0,0,0,0,1.3,0,0,0,0,5.19,1.3,0,1.3,1.3,1.3,0,1.3,0,0,1.3,1.3,1.3,0,0,0,6.49,0,0,3.9,2.6,0,3.9,9.09,3.9,28.57,2.6,10.39,18.18,1.3,0,3.9,0,0,0,0,0,0,0,0,0,12.99,3.9,5.19,0,0,0,0,0,0,3.9,0,0,0
