signevent,q1,q2,unid,id,outcome_class
Getting married ,"On Tuesday of next week I will be marrying my partner Richard. We have been together 6.5 years. The wedding starts at 12pm where the day guests attend (50). We will then have photographs, sign the register etc. When the ceremony is finished we will ‘mingle’ with guests have more photographs before the evening guests start to arrive (a further 40) and we will go inside and have a buffet type hot meal where guests can either pick from a chicken curry and rice or a beef chilli. We will then have speeches,
Give out presents and have a toast and dance the night away ","Sleeping at the venue the night before. 7/8am the hairdresser and make up artist will arrive to put my hair into a loose French plait tucked in at the bottom. My wedding colour scheme is dusky pink and grey. I have created 60% off things at the wedding which includes table decorations, sweet table, table plan. By doing this I have saved over £300 ",jx033981,20,t
I will be continuing my patchwork quilt I have started.  Quite difficult but enjoyable so far.,It is a log cabin patchwork quilt with many different colours.  It will take some time to complete but no rush for me. It is a really nice hobby I have recently taken up.,"I go to weekly classes and learn all about patchwork skills.  I am amazed in what I have learnt in the short time I have been there. My quilt is my 3rd project to date. First was a pin cushion, next a cushion and now a quilt.",nk637718,21,t
I am attending a folk music festival on Friday.,"There is a folk music festival in the city I currently live in. I have bought tickets for Friday. The festival is outdoors. The event asks for attendees to bring blankets and lawn chairs to sit on, and to enjoy the music. I will be trying out some of the food trucks at the festival. I will also bring a chair to sit on, and I am attending the festival with my best friend Amy.","Musical groups such as ""Alvvays"" and ""Passenger"" are scheduled to play on Friday at the festival. The tickets for the Friday show are $60.",ES973582,22,t
Visiting my friend,I will be going with some other friends to visit her and her husband and we will stay for most of the day. We are invited for lunch and as the weather forecast is set to be good we will eat outside. After lunch we will probably go for a walk.,To convince you I will tell you that this friend is one from my early 20s and that we have been friends ever since. We see each other several times a year and have lots in common. We both have families and like to catch up on their news and our partners are now friends and also enjoy each other’s company. It is a relaxed day as we know each other so well.,cV324461,23,t
"I'm going shopping and for dinner on Friday, with my best friend Olivia.","We're meeting up in Manchester, close to where we both live to spend the day shopping, and catching up since we haven't seen each other in person for a few weeks. Then, we're going for dinner (place as yet undecided) and probably drinks afterwards.","It's a pretty normal activity to do, it's something we do every couple of months. ",cB164146,24,t
To go a boot fair to look for bargains to keep and to sell on.,"I am a collector of antiques and collectables vintage item, from pottery, glass, clocks and watches. Anything that is collectable. I keep what I like and also I buy things to sell on, which pays for the things I want to keep.  What I sell pays for the items I want to keep, so I pretty much Get the items that I keep free!","Bootfairs are the best place to look for the best barains. You can buy things for 1 or 2pounds and sell it for a lot more. Most of the sellers who sell at bootfairb do not really understand the true value of the things they sell. I have many years of experience. I read A lot about the things I like to collect. I still make mistakes, but that's how you learn. I am always learning something New in this game. But it is a very good game. Going to a boot fair can be a big adventure for me because you really don't know what you will find.",tY321455,25,t
On Saturday I will have dinner with several of my husband's relatives that I have never met before.,"On Saturday, my husband's cousin and his partner and two children are coming to our house for dinner. They do not live in USA and this will be the first time I have met them. We will have a grill out with them and get to know them better before they travel on to Michigan to meet other relatives.",It would be a very boring thing to lie about. If I was going to make something up it would be a lot more exciting than eating hot dogs with strangers.,mQ946798,26,t
Moving out of my flat,"After moving all my furniture and clothing out of my flat earlier this week, over the next two days I'm going to be taking any remaining items and cleaning the flat before handing the keys back to the landlord.","I gave notice to the landlords one month ago, so I'll need to be out in two days time. Moreover, one of my tasks is to hand back the keys, so after this I won't have access anymore. ",ID532461,27,t
Horse Riding,"i will take Liam horse riding on Saturday, Liam has autism and this is one activity that he enjoys so much. I will begin my journey at 3pm and arrive at 3:15. Liam will feed Hank the pig first and then get ready to ride his pony. The lesson lasts half an hour and is just about right for him. Liam has enjoyed this activity since he was 4 years old. ","Because Liam is autistic routine is very much a part of our lives and he understands what day of the week it is and what activity we are going to do. To defer from routine in our house is not good, so we do the same things week in and week out. Horse riding is planned every Saturday at 3:30pm all year round (even in the winter!!)",Jq487584,28,t
I will be going for a meal with my family on Friday to celebrate my son's 16th birthday.,"My family consisting of my two children and my partner will go to a restaurant on Friday evening, we will have a meal to celebrate my son's birthday. It will be my son's choice what sort of restaurant but I think he will chose Chinese.","My  son's birth date is 18.07.2002.
We celebrate his birthday every year but this is especially important as 16 is an important year and we want to give him special memories.",VK642202,29,t
Take my daughter to the swimming pool,I will be taking my daughter to the local leisure centre on Friday morning for swimming in the teaching pool. She is only 2 so it is more like splashing than swimming! ,"It is something I do most weeks, as I don't work on fridays so it is our usual treat together. ",YC488267,30,t
Visiting a local attraction with my family and enjoying my day there,"WE will drive to the attraction, wander around enjoying the sights there and take some time for lunch and snacks.",I often visit local attractions at the weekend and usually eat lunch and sometimes snacks there.,oX505845,31,t
Going on a weekend camping trip with my brother.,"We will travel to Vermont and camp at a lake. Then we will go hiking, cook food, swim, and take a boat out on the lake.",We have planned out the trip and made reservations from next Thursday until Sunday.,pB141847,32,t
We will be going to my parent's for their annual summer family garden party to celebrate our birthdays.,I will travel with my husband and children to my parent's house - my mum is a great cook and my grandparents will be there. Hopefully we will have good weather and spend time in the garden. I need to get some sticker books to keep the children happy while we have some champagne!,"We have this family gathering every year as it is my, my husband's, my sister's and my mother's birthdays all in july and we take this occasion at the end of the month to celebrate together with family.",vf021438,33,t
Choosing a new kitten. Watching an episode of my favorite show before bed.,"I have decided to get a new kitten, and I have made arrangements to go and choose which kitten out THIRTY kittens! I will go to a foster kitten house and choose which one fits me best. Also, my favorite leisure activity is catching up on a TV show that I love before I go to sleep. ","I have made arrangements to meet with the kitten foster home this week, and I have been watching my favorite show every night for the past few weeks and find it very funny, and such a good way to relax from the day! I will watch it every night this week. ",Xd313414,34,t
Fitness class with my best friend ,"I go to my local leisure centre with my friend, get weighed by the instructor then attend an exercise class where we do circuits",It is on at 6pm on Tuesdays. I have a sign in card as evidence of attendance ,nR497816,35,t
Taking my kids out on their bikes to learn how to cycle.,"In early evening I will take my son and daughter to the park where there is a nice flat surface and practice balancing on their bikes for an hour. The aim is to give them both the confidence to cycle unaided, so we can attempt a bike ride in the woods.",I have two kids and they really want to learn to ride their bikes. The weather is great right now so theres no reason not to do so.,KG344197,36,t
"Taking my children to build a bear workshop, to build a bear each with the vouchers I got for them.","I plan to take them to the build a bear workshop at the retail park as I think you can get better deals there (although I’ve not been before) and hopefully parking should be free.  I’m a little concerned that they may only accept one money off voucher as one is for my husband account and he won’t be there - but if I tell them that they are sharing, then if they get one each it will be even more of a treat!  They have never been before and I’ve been wanting to take them for a while so I’m hoping it will be a good start to the summer holidays! ","I think I may have answered that in the last question by mistake.  I could screenshot the voucher - but I’m not sure that the study would allow this.  The vouchers were free ones given by build a bear as they underestimated the response to their “pay your age” promotion.  We only gave until 13th or 14th August to go as that’s when they expire so I figure, get in early and if it’s busy, we can always try again another day.  I have no way of persuading you - unless you go on Friday and we see you there!! ",Cl213472,37,t
Spending the day with my niece who lives away from our home town and who I do not get to see very often,I will get the train to LINCOLN where my niece lives and meet her at the train station.  We will immediately hit the shops and I will spend far too much money spoiling her with new clothes and make up.  We will go to our favourite little cafe for lunch and milkshakes before hitting the shops again.  ,I don’t get to see my niece very often as she works long night shifts as a nurse so when I do get to meet up with her it’s extremely special and fun. The train is more like a slow bus and takes forever to reach its destination and there are never any seats so I have to stand the entire journey but it is worth it.    ,xc134294,38,t
"Meeting my new baby nephew, Kian.","We are going to my sister-in-law’s house to meet my gorgeous new nephew, Kian. We will take my children to meet him and we will take the gifts we have bought for him.","My nephew was born prematurely on the 12th of July, 2018 at the Luton and Dunstable hospital. We haven’t been able to meet him before now as he has been in an incubator.",tC040125,39,t
I plan on meeting friend in town for a night out after the return from ladies day at the races.,I will take the bus from my town and go to town. I plan on meeting my friends at a local pub and then as it gets later we will go to the best clubs which we think is Flares.,I have already planned on borrowing money until I get paid in order to go out.,yY050275,40,t
do go for my weekly run,it s lesiure activity that i try to do every week. In order to stay fit and healthy i enjoy going for a run every week. It keeps my stress levels low too.,i use various running apps on my smartphone like nike run+ and strava to  record and document my weekly runs so providing evidence is easy.,JY218766,41,t
My son will be getting married on Saturday the 28th so a big day all round for the whole family looking forward to it,My son will be getting married to his long-term girlfriend is two little girls will be flower girls so this will be really good his other two brothers will be handing out leaflets we think everything is all of together as long as the weather outside should be a good day,They will be getting married on the 28th of July 2018 and it will be in Tintinhull church this is a village near Yeovil in Somerset then on to a reception in a stately house near South Petherton,eX245324,42,t
Watching TV after work.,Sitting on the red couch in my living room watching T.V. after work. I may drink a cold bottled water and eating my dinner at the same time.,You can ask my wife. She can vouch for me. ,CM854828,43,t
"I will be celebrating my best friend, Candice, graduating college!","At the end of July my best friend, Candice, will have finished her final class needed to graduate with her undergrad degree in Biology! We will be having a party in our apartment for her accomplishment on Saturday! All of our friends and family are invited to congratulate and have a good time. We will have food, refreshments, music, and fun activities for people to participate in at the party! ",She will be getting a degree and her transcript will show that she has graduated. As for the party we have purchased a lot of party supplies and even a congratulations graduate banner. For all of the things we have purchased for the party we have receipts as proof. I have the invite that I have sent out to all of our family and friends as well to prove that this is a real event that will be happening on Saturday at 4pm. We have spent lots of planning into making this a great celebration! ,Zj295632,44,t
Watching TV with my partner in bed on our projector.,Before going to sleep we will turn on the Projector and sound system in our room and watch the last few episodes of the handmaids tale.,The Projector and sound system are controlled by a series of voice commands that I programmed with some home automation hardware. Hopefully that’s specific enough to know I’m telling the truth.,sL249217,45,t
Celebrating my bestfriends hen weekend,"My best friend Carla asked me last year to be her bridesmaid. I was absolutely delighted as I have never been a bridesmaid before. She asked me and 5 other friends, 2 of them I am really close to. Me and all the other bridesmaids have all arranged her hen weekend together. We have arranged to go to a villa in benalmadina. There is 17 of us in total. We are staying for 3 nights. (Friday to Monday) We will be going to ocean beach club and having 2 nights out! We all have purchased special outfits to wear and have been saving all year for this weekend!! So excited. ",I could give you my flight information. I could also get my friends to give you their word. You could also check my social media which would confirm this. ,Yw999402,46,t
Getting a Swedish massage at a day spa,"I will drive to a salon/day spa located about 15 minutes from where I live in the afternoon. After I park and walk to the location, I'll check in with the receptionist and wait to be taken back to the spa area. Another woman will come, my masseuse, and lead me to another waiting area. There, I will fill out a form dealing with any health concerns and, after giving the form back to the woman to look over, will be lead to the massage room. There, I will be instructed to prepare for the massage alone. After preparing, the woman will knock and enter the room and I will receive the massage for 45 minutes. After it is over, the woman will leave and I will get dressed and walk with her to the front desk, where I will pay with my credit card and leave.","The massage will cost $40 (plus tip), my appointment is at 1:15 p.m., and my masseuse's name will be Teri (I already booked the appointment).",PO981298,47,t
going camping with my family,"I am going camping with my husband and two children.  We are going to a campsite in Wales near the coast.  We will take our own 4-man tent and a campstove and BBQ.  We will spend time playing on the beach, before going back to the campsite to cook our evening meal.  There will be lots of space on the campsite for the children to run around and have fun.  We hope there will be wildlife to spot.","We enjoy camping as a family activity and it is now the school summer holidays which is a perfect time to go.  The weather at the moment is dry and sunny (we have a heatwave!), and is ideal for camping and being outdoors.",iI943217,48,t
checking out the footage for nfl training camps,"im a huge 49ers fan so im very excited about the training camps opening this week, ive been waiting months for football to start again and its finally here...its a great time to be a sports fan.","I love sports and my favorite teams especially football, without sports life to me would be very boring, so i look forward to this very much.",qc875522,49,t
"I play guitar, I like to practice for relaxation.","I pick up my instrument, hold it in my arms, fiddle around with some pentatonic warm ups scales, then rock.","I can tell you the strings are tuned to 5ths, and every 12 frets they repeat, and the 7th fret of the string below is the same note as the one above...",Ah796234,50,t
I am going to mentor a new start up,I am going to mentor a new start up run by a female entrepreneur who is keen to come off benefits. This is the one social enterprise volunteer venture I can commit to. This is a leisure activity for me because it is unpaid.  I have a counselling background and I want to give something back to the community. I am keen to build this woman's confidence up and focus on her resilience in the next 7 days. She needs to be in a good place and to feel empowered.  We will begin by a walk along the canal and I will take her through her life's journey to date. On the return we will map her new journey and dreams for the future.,I am a trained mentor. I belong to a social enterprise  called the growing club funded by the Co Op. I have been assigned a mentor.  She makes baby slings and teething rings from sustainable resources. She is based in  Lancaster. I am completely committed to this task. I am keeping a mentoring journal.,mL146727,51,t
I will be spending two days at Peppa Pig World in Hampshire with my family. ,We'll be leaving in the morning so we can stop at Lulworth Cove and the Durdle Door on the way and then we'll check into our Air BnB in the New Forest. We'll be up early to be first at the gates as my daughter is a big Peppa Pig fan and we are worried about it being too hot later in the day for queuing. ,I booked this holiday 2 months ago. The tickets for Peppa Pig World were £100 but we got one day free. I've already bought my daughter some Peppa Pig clothes to wear whilst we're there. We booked an Airbnb rather than a hotel so we'd have some separate space in the evening when our daughter is asleep. I'm also keen to do some walks in the New Forest. ,De644038,52,t
Go to the local library with my husband to download books from 9am-11am.,My husband will drive us by ebike to the library. We have to get there early to get our favourite seats next to the charging points as it is school holidays and it is very busy. The internet is quite slow so we will download some books to read on our ipads for 2 hours and surf the internet whilst we wait. It is more fun to do it at the library than at home as it is a change of scene.,"The local library is in Nantong, Jiangsu Province, China. We live here as my husband works in a local language school teaching English to children whilst I stay at home.",mY424315,53,t
I am having friends over for dinner on Friday.,"On Friday afternoon, my wife's best friend is coming to town to visit. They are going for a hike in the afternoon. While they are gone, I will be preparing a special dinner that we will enjoy on our rooftop patio. Dinner is planned for 6:00 pm, and I expect my wife's friend to leave around 10:00 pm.","The dinner menu is already planned. When they return from their hike, we are having lavender lemonade cocktails, for dinner we are having seared tuna burgers and edamame, and for desert locally made artisan ice cream.",ig753767,54,t
Date night with my husband,I'll be having date night with my husband this Friday night.  We haven't actually decided what we're going to be doing just yet but it's been over 4 months since we last had some time together without the baby so we'll definitely be going out probably for dinner and some cocktails. ,We recently decided to go travelling for a few months with the baby.  The downside to that is we don't get to have our weekly date nights like we used to so this Friday is going to be such an important time for us.  ,bh770438,55,t
"Go bowling with my family on Thursday morning at 9.30am, to complete one game of 10 pin bowling with my family",10 bin bowling at an 8 lane alley in Thornton. Going at 9.30am allows you to bowl for cheaper than usual ,The bowling alley is at the YMCA centre in Thornton. It is one of my daughters favourite activities to do in the holiday,zd598035,56,t
On Sunday I am spending the day at the beach with my family ,"Spending the day at the beach with my grandchildren, wife, son and daughter in law","My grandchildren are called Edward aged 6, Adelaide aged 4 and Aurora 6 months old. We are going to Sutton on sea",pD498974,57,t
"Going to the gym on Saturday to do cardio for 35 minutes, followed by weights for 30 minutes then swimming","I go to my gym on a Saturday morning. I arrive around 9.30am. I start off with 35 minutes of cardio, followed by weights for roughly 30 minutes. I finish off by heading to the pool to do 20 lengths. Total session takes about 1hr 40 mins","My gym in David Lloyd in Rouken Glen, Glasgow. I've been a member since last May. This is part of my normal weekend routine. I work out on a Saturday and Sunday. I'm too tired to work out during the working week because of work",ef398305,58,t
I am going to see a concert of a tribute band of the Electric Light Orchestra on Friday,"On Friday evening we are going to see a concert in the Princess Theatre Torquay by ""The ELO Experience"", an Electric Light Orchestra tribute band.","I can be specific about the place, time and date (Princess Theatre, Torquay, friday at 7.30 I think - will have to check with the wife who bought the ticket for me).  I am a big fan of ELO, can name their greatest hits (Mr Blue Sky) and their original, as opposed to their most famous lineup. (Jeff Lynne, Bev Bevan and Roy Wood).  I can also name more obscure tracks (Poor Boy, the Greenwood from the Eldorado album for example).",TU604894,59,t
press fkowers,I collect perfect flower dry flowers from my garden and then place them between paper and put them in a wooden press and then tighten the wing nuts to press the flowers,I have been doing this hobby for a few years and find it quite relaxing and artistic,HB411380,60,t
Taking my family to meet up with my sister in laws family for a family fun day,We are meeting up so that our children can have quality time together. As cousins they love spending time together but unfortunately it happens rarely. We are heading to clumber park for a picnic and a game of cricket. We will probably end up tree climbing and going on a bike ride too.Other family members have been invited but are yet to confirm if they are coming. We did this same activity last year and had a great time. ,"We have already planned to meet at 10:30 on Saturday at clumber Park. Last year we all got there but couldn’t find each other easily, and there is no phone signal. So this year we have a specific place to park and meet which is out side the information centre. ",fg407273,61,t
Celebrating my daughter's 3rd birthday,Her birthday is on Saturday so we will have a meal out to celebrate and on Sunday we will have a party for her.,Me and my husband have spent hours the last week making decorations for her party. The theme is Moana so I have been cutting out leaves from green card and my husband has been painting decorations to hang. We have invited our next door neighbours and my parents as well as another one of her friends. More people were invited but are away on holiday. I am probably more excited for the party than she is!,Gg666537,62,t
Running my youngest son's ninth birthday party,I plan to borrow a projector and screen and show a film in the garden on Friday night for my son and six of his friends from school. They will have popcorn and cake and two of his friends will stay for a sleep-over. I expect mayhem.,"That I have already had one birthday party for a first group of his friends who were not allowed to watch the planned film as it is rated a 12, where they played on his new table tennis table and that my biggest concern has switched from the possibility of it raining to it being too light for the screen to be visible on Friday night",gT329129,63,t
Tracking down members of a maverick branch of my family tree,"Through DNA testing, I recently became aware of a brand new branch of my family tree. One of my great grandfathers was not who he thought he was. He believed that he was the illegitimate son of a solicitor's daughter and a wealthy businessman, but he was in fact the illegitimate son of a army officer and a woman of an as yet unknown ancestry. My task over the next week (and more) is to track down more about this new branch of my family tree.","My DNA test results conclusively showed that I am not related to the family lines (solicitor and businessman) as other people in those families also had DNA tests completed; these proved that we were not related at all. My mother and first cousin have also taken DNA tests and they confirm the relationships that I found. I have since found DNA matches with members of the army officer's family, and have also linked in my family tree to theirs through civil records (birth, marriage, death records).",bu480522,64,t
Going for a run every other day,"I will get up early, take a light breakfast and get ready to go on my run. I will take my normal route but try to either increase my intensity, run for further or do my run quicker ",My last answer probably already covers this well but I am trying to lose weight so this is very important to me. ,Qf089247,65,t
walking my dogs,"I will take my 3 excited dogs, put on their harnesses and leads and take them out",I love my dogs almost as much as I love my family,eR534212,66,t
training for a trail running race,"I am training for an upcoming trail running race two months from now.  I am going to lift weights such as do lunges, squats, and core exercises.  I am going to do lots of trail running around my house.  I am going to do a lot of work on my elliptical to get into shape.  I will be doing all sorts of various routines such as High Intensity Interval Training, Long Runs, Easy Runs, Sprints, Splits, etc.","I know the exercises do to.  You have to do easy long runs in order to get your body adjusted for long distances.  You have to do easy runs in order to make your body grow extra cappilaries so that it transport blood better.  It also allows your body to recover.  You have to do strength exercises that are specific to running such as lunges, dynamic lunges, jump lunges, squats, jump squats, etc.  You also have to mix up your runs to keep your body growing and improving.  One run might be flat out.  The next one you do High Intensity Interval Training so that you are used to going flat out when tired.  You then may do splits.",Nk995809,67,t
Doing a DIY activity found on Pinterest which involves creating Star Wars light switch plate covers.,"On Friday I will have some time available between 8am-3pm just for myself, which is not an extremely common occurence being a mother of two young girls, to complete this DIY project I have been wanting to do for fun. I love Star Wars and on Pinterest I came across these light switch plate covers that are designed/decorated in Star Wars themes. They look really cool and it has enticed me to want to deck out all of my plain jane boring white light switch covers in my house into light side/dark side and Jedi/Sith themes, so I'm going to have a good and relaxing time chilling out at home by myself making them and then putting them over the current light switch covers. I'm really looking forward to it and in seeing the end results as well as the reactions of my family and friends when they see them all for the first time. ","I told you the day and time of this activity, as well as mentioning I will be alone at home which my security cameras can verify. I told you specifically about what the activity is, my reason for wanting to do it, where the idea for this leisure activity came from and can provide links to pinterest as well as before and after photos once the day has come and gone and the activity completed.",hb843855,68,t
cocktail party with friends,We will be watching the final of Love Island and will be drinking cocktails during the show. We have been watching the entire series and have decided a party would be a fitting end to watch the finale. ,We have already confirmed we are going and the hostess has purchased flamingo glasses that appear on the show for us to use on the night. We are all avid Love Island fans. ,mb742009,69,t
Going out for lunch in Upton Magna with my daughter to celebrate my first day of retirement.,I will meet her out side the barn she works in as a trainee planner. We will walk to the village shop and cafe which is part of the pub and order lunch. We will have a soft drink as she is working and I am driving. We will then have a walk around the village before she returns to work.,"I’m 61 years old and having taught since September 1978 ,I retired yesterday from teaching. I worked for Walsall for the last 19 years. My daughter walks in Upton Magna. The cafe/ shop is next to the Haughmond inn in Upton Magna. The cafe is known as coffee and pedal stop. ",OJ100163,70,t
reading a good book.,Reading a good book involves first selecting the book you will be reading -- using reviews and the first few pages will help to make this decision.  It then involves finding a quiet place to read and getting into the mood.  A nice cup of coffee and maybe a thunderstorm outside can help as well.  You then read the book.,"I love reading and read more than 50 books per year.  So it makes sense that reading a good book would be at the very top of my list of things to do in the next 7 days.  I'm currently reading an awesome historical fiction, The Song of Achilles, and I highly recommend it.  ",DM402442,71,t
Learning a song on guitar,"I must memorize a song in order to preform it next weekend. This requires playing through the song in it's entirety while taking note on the parts that need work, then going back and focusing on only those parts in order to improve them, then repeating the process until I can play the whole thing easily and well.",The song requires an alternate tuning of the guitar to open D minor.,ft133189,72,t
Wedding,My boyfriend's friend is getting married this Sunday. The marriage will take place in a church 40 minutes away from our house. The reception will then take place in the city that we live in. As the wedding is on a Sunday we have booked the Monday off as well.,"We are due to drive over at 1pm.

My boyfriend knows the bride from school. ",bw583315,73,t
Training and trying out for a new sports team ,"Fitness, strength and conditioning, hand eye cordination, game time decisions, completing tasks within the team for trust and bonding and reading the updated rule book as it gets updated yearly and a friendly game between the team.","Training for a flag football team that are preparing for next season, learning the plays, meeting with the new players, coaches and officials. Fitness training to make sure fitness levels are acceptable so players won't gas out on the pitch during a game.",Xh351734,74,t
